Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,100000024,50633086,0,49391858,0,0,0,0,0,48660241,0,1352,49365586
1,100000024,50049500,0,49975536,0,0,0,0,0,49232079,0,2642,49947882
2,100000024,50264500,0,49760585,0,0,0,0,0,49027317,0,8451,49727073
3,100000024,50740000,0,49284995,0,0,0,0,0,48551278,0,21259,49238765
4,100000024,50623500,0,49401305,0,0,0,0,0,48679083,0,41651,49334873
5,100000024,49914500,0,50110446,0,0,0,0,0,49378307,0,67559,50017965
6,100000024,50785000,0,49240025,0,0,0,0,0,48503401,0,95691,49119333
7,100000024,50354000,0,49670954,0,0,0,0,0,48943143,0,153221,49492803
8,100000024,50310878,0,49714158,0,0,0,0,0,48982678,0,212830,49476316
9,100000024,50282500,0,49742569,0,0,0,0,0,49014877,0,301976,49415548
10,100000024,50453863,0,49571432,0,0,0,0,0,48828046,0,400923,49145238
11,100000024,49958000,0,50067222,0,0,0,0,0,49327149,0,542243,49499781
12,100000024,50022000,0,50003154,0,0,0,0,0,49266400,0,702668,49275356
13,100000024,49456388,0,50568949,0,0,0,0,0,49832446,0,854770,49688866
14,100000024,50070201,0,49954942,0,0,0,0,0,49221389,0,1080717,48849106
15,100000024,50962741,0,49062100,0,0,0,0,0,48331007,0,1363505,47673778
16,100000024,50121821,0,49903055,0,0,0,0,0,49176943,0,1596650,48281553
17,100000024,50725000,0,49300088,0,0,0,0,0,48567901,0,1808810,47466214
18,100000024,50574500,0,49450390,0,0,0,0,0,48723531,0,2187203,47238321
19,100000024,50865211,0,49159121,0,0,0,0,0,48450198,0,2524493,46610320
20,100000024,50073709,0,49951242,0,0,0,0,0,49220742,0,2973696,46952619
21,100000024,50356500,0,49668640,0,0,0,0,0,48930256,0,3416348,46227176
22,100000024,50446548,0,49578495,0,0,0,0,0,48836147,0,3929470,45624006
23,100000024,49849500,0,50175690,0,0,0,0,0,49434342,0,4464623,45685901
24,100000024,50796204,0,49228774,0,0,0,0,0,48500803,0,5017678,44186142
25,100000024,50319352,0,49705737,0,0,0,0,0,48974641,0,5631083,44049589
26,100000024,50203373,0,49821837,0,0,0,0,0,49073841,0,6424444,43372207
27,100000024,49474000,0,50551519,0,0,0,0,0,49810053,0,7329047,43196977
28,100000024,50867000,0,49157789,0,0,0,0,0,48436071,0,8401204,40731820
29,100000024,50566000,0,49459108,0,0,0,0,0,48725381,0,9967960,39466064
30,100000024,50031605,0,49993261,0,0,0,0,0,49269492,0,13245738,36722681
31,100000024,49917500,0,50107781,0,0,0,0,0,49357983,0,18486557,31595967
